station,region,telemetry_value_parent_id,parameter,value_timestamp,value
3340,Midlands,476720495,Rainfall,2026-01-20 09:00:00+00,0.1
3340,Midlands,476717290,Rainfall,2026-01-20 08:45:00+00,0
3340,Midlands,476714220,Rainfall,2026-01-20 08:30:00+00,0
3340,Midlands,476710422,Rainfall,2026-01-20 08:15:00+00,0
3340,Midlands,476707973,Rainfall,2026-01-20 08:00:00+00,0
3340,Midlands,476704676,Rainfall,2026-01-20 07:45:00+00,0
3340,Midlands,476701697,Rainfall,2026-01-20 07:30:00+00,0
3340,Midlands,476698577,Rainfall,2026-01-20 07:15:00+00,0
3340,Midlands,476695231,Rainfall,2026-01-20 07:00:00+00,0
3340,Midlands,476691848,Rainfall,2026-01-20 06:45:00+00,0.1
3340,Midlands,476689543,Rainfall,2026-01-20 06:30:00+00,0
3340,Midlands,476685545,Rainfall,2026-01-20 06:15:00+00,0
3340,Midlands,476681814,Rainfall,2026-01-20 06:00:00+00,0
3340,Midlands,476678283,Rainfall,2026-01-20 05:45:00+00,0.1
3340,Midlands,476675402,Rainfall,2026-01-20 05:30:00+00,0
3340,Midlands,476672194,Rainfall,2026-01-20 05:15:00+00,0
3340,Midlands,476668988,Rainfall,2026-01-20 05:00:00+00,0
3340,Midlands,476665966,Rainfall,2026-01-20 04:45:00+00,0
3340,Midlands,476661875,Rainfall,2026-01-20 04:30:00+00,0
3340,Midlands,476659107,Rainfall,2026-01-20 04:15:00+00,0
3340,Midlands,476656502,Rainfall,2026-01-20 04:00:00+00,0
3340,Midlands,476653026,Rainfall,2026-01-20 03:45:00+00,0
3340,Midlands,476649089,Rainfall,2026-01-20 03:30:00+00,0
3340,Midlands,476646429,Rainfall,2026-01-20 03:15:00+00,0
3340,Midlands,476642696,Rainfall,2026-01-20 03:00:00+00,0
3340,Midlands,476639737,Rainfall,2026-01-20 02:45:00+00,0
3340,Midlands,476636675,Rainfall,2026-01-20 02:30:00+00,0
3340,Midlands,476633866,Rainfall,2026-01-20 02:15:00+00,0
3340,Midlands,476630352,Rainfall,2026-01-20 02:00:00+00,0
3340,Midlands,476627035,Rainfall,2026-01-20 01:45:00+00,0
3340,Midlands,476625014,Rainfall,2026-01-20 01:30:00+00,0
3340,Midlands,476620355,Rainfall,2026-01-20 01:15:00+00,0.1
3340,Midlands,476617767,Rainfall,2026-01-20 01:00:00+00,0
3340,Midlands,476614146,Rainfall,2026-01-20 00:45:00+00,0
3340,Midlands,476611015,Rainfall,2026-01-20 00:30:00+00,0
3340,Midlands,476607755,Rainfall,2026-01-20 00:15:00+00,0
3340,Midlands,476604863,Rainfall,2026-01-20 00:00:00+00,0
